Treatment,Tank,Shoot,Rhizome
Ambient,2,108,15
Ambient,6,156,14
Ambient,23,128,14
Ambient,19,103,14
Ambient,2,118,15
Ambient,19,118,15
Ambient,6,143,17
Ambient,23,140,16
Ambient,6,135,16
Ambient,2,101,23
Ambient,2,113,15
Ambient,6,128,14
Ambient,23,125,13
Ambient,19,122,11
Ambient,23,128,14
Ambient,19,87,14
Reduced,5,140,14
Reduced,25,86,19
Reduced,25,108,15
Reduced,16,131,16
Reduced,9,105,14
Reduced,18,94,14
Reduced,18,120,14
Reduced,25,116,15
Reduced,14,128,15
Reduced,16,116,14
Reduced,9,112,16
Reduced,22,125,18
Reduced,5,142,15
Reduced,5,88,14
Reduced,27,126,15
Reduced,14,142,17
Reduced,16,140,16
Reduced,18,114,14
Reduced,22,132,15
Reduced,18,121,14
Reduced,5,133,15
Reduced,14,130,15
Reduced,25,125,16
Reduced,16,123,16
Reduced,22,133,14
Reduced,22,116,10
Reduced,27,116,13
Reduced,14,114,12
Reduced,25,140,14
Reduced,27,86,16
Reduced,9,93,13
Reduced,27,108,15
